index,conteudo,CLASSIFICAÇÃO
107,quas  ano q receb salari ai banc hoj vc perceb q tod o dia util me debit vc pag automatic kkkk ai tod vez gast papel mand cart toa,marca
224,decepcion surpres,marca
1066,adiant ter dinh guard vc porc agenc abr dev d,marca
451,consig lid indisponibil frequ serv onlin seri aplic celul aplic comput sit tod dia algum funca ta ar,marca
1518,client sai decepcionadiss hoj to doid quer sair obrig ir agenc pra encerr cont pra faz basic qualqu cois banc tud onlin,marca
134,nunc aceit compr internet ingress debit mand instal app vc comput assim adiant sempr deix mao santand mae nunc problem,marca
927,pesso sab faz aplicaca r    plan x pod ter fund previdenc acumul r     ano sab vou ter pert  ano qdo acontec melhor analis dad vc ficaad,marca
418,compr mal atend comec sab tent resolv mod agrada problem a atend resolv coloc anotaca prontuari outr  receb ligaca deslig car,marca
968,agor carta cheg cas faz quas me,produto
1175,boa noit respost padra vi samsung pay suport ai ano fic ness migr log algum serv dao suport googl pay,marca
337,fod seleca banc coloc jog seleca princip vid foraimpun futebolcorrupca,marca
740,consig faz nad app itau empr chei err http t co mzuvdoj,marca
1354,possi tent melhor app tod dia tod dia continu mesm cois af http t co bclkjjub,marca
1038,ola pod tir duvid via dm,marca
755,ta fal ta conect outr itoken q taa,produto
855,fac pra peg inform rend cont encerr jan,produto
1125,exist bota conclu transaca app notebook consig pag cont onlin app celul h itau  hor vez perd descont bols,produto
1355,real    ano nunc problem  ano dificuldad banc,marca
1284,quis abr ag   proced,produto
1205,lig  deix registr descontent cent inform nenhum problem carta sistem ped ver appl problem iphon x enfim val pen com,marca
1044,estud ader samsung pay,marca
259,vish li cois informaca dev est prior,marca
1000,itau vai lanc appl pay ant samsung pay vou ter troc banc modern,marca
449,app itau eh merd,marca
146,tao ruim q reclamaca tom nenhum providenc quer sab banc vai pag jur cont q precis pag ont a vou abr cont pj cancel meeeeerd cont,marca
127,n sair pq fez gentil bloqu carta consent,produto
209,encerr cont motiv http t co tuqfnbnyt,marca
578,quer sab agenc  gerent,produto
359,odei vc tud q vc represent tir mao band favorit crapul desgrac morr vc tod famil acion,marca
242,amo qdo gerent banc lig pra pergunt tud bem pod ajud algum cois precis ajud nad ahahahahah elogi ai,marca
1171,par gast dinh propagand nov bik linh azul vermelh nenhum estaca vc pass estaco dess linh,marca
1299,merd gent pag fatur banc lib nad pag temp,produto
586,nenhum doi prest itau aind menos pi,marca
1422,oi faz doi dia utel fiz deposit cont aind desbloqu fac,produto
1495,realiz pag app sext agor const,produto
716,pra precis carta cheg rap favor sedex  ai,produto
385,ta faz muit propagand perd foc,marca
1452,desd seman pass tent outr conexo agor pag cont celul conexa funca funcion app notebook quebr precis faz transferenc,produto
664,dia ta vend mand elogi ai app volt funcion decent,produto
367,fal cert melhor dia motiv gent ter ganh ingress am,marca
858,vou confer condico espec renegociaca simpl fat cont itau dev nad receb  mens http t co xgzgeomf,marca
862,vai continu patrocin entidad corrupt rgt,marca
142,par pra pens q band trilh son comerc cham dev bom fd,marca
1208,precis sab gerent cont pj fac ir agenc,produto
305,agenc duqu cax  to tent lig pra la desd ced ning atend,marca
168,am deu consert log bik estaco prai vermelh ufrj,marca
123,dia algu diss atend tud pec pesso pra va cert vai mud ide bj,marca
1554,gost pesso obrig ganh tant elogi tchau,marca
1195,opca us doi ded cadastr  poleg doi indic pq poss us indic recadastr nov biometr sac client banc brasil reconhec biometr la melh,produto
1516,cadastr carta consegu cadastr esp acontec,produto
180,faz saqu biometr carta banc entr local caix eletron precis est carta credit abr port cad logic,marca
357,merec pass vergonh dand carta inval,marca
953,excel ide junt appl,marca
919,gent otim atend telemarketing utel socorr parab aument pra evelyn otim,marca
1152,rt falt educaca client agenc fic av casp liber  paul sp h precis,marca
63,cert dai agenc  hor coloc frent mesm dia dess tav rua tard noit precis dinh pra volt pra cas agenc  hor fech ridicul pra car vc  hr eh  hr n,marca
1214,tod vez q vc mand lig pra algum lug vontad bat pesso q fez comerc diz q itau banc digit kkkkkkkkkkkk,marca
1196,sim quer mud condico cont pj,produto
264,resolv centr  indignaca propr centr itau est desatu pont fornec telefon exist,marca
322,oq send debit dinh cont permissa mex dinh fic put,produto
939,carta mastercard func algum maquin carta recus sequ possi digit senh,produto
530,rt bom dia itau vc vao oferec produt via samsung pay maior pesso us celul samsung,marca
1426,client itau mim safad revel rein futebol patrocini jog dinh agreg pra mant client,marca
949,fatur cheg fac pra pod pag cont poi banc moc diss pux val,produto
730,dand mig pod negoci zer anuidad motiv esdruxul banc lucr absurd mei cris vem patif anuidad zer zer carta,marca
523,qdo tent agend pag faz verificaca ok ant confirm fat diz encontr alg insegur impossi pq antiviru atualizadiss uso tb ant malw bem calc problem viru,marca
1098,to ilud to compr camis hex hahahah,marca
838,itau problem resolv nerv dem atend obg atenca,marca
92,hoj  ano  mes cancel carta credit ridicul banc cobr tant tax serv carta dar min temp client nubank ciel outr financ entr ultrapass cobr cobr,produto
1145,la grup var pesso mesm situaca carto co branded enta ped aprov esper credicard zer cheg apost vai ativ zer ant atend itau,marca
1624,ow aument limit carto favor limit ta dand cont precis compr roup seri,marca
229,oi adequir carta credit,produto
251,oi mig cobranc financ carta credit send atend dit dia  far pag,produto
1447,n poss pq banc ond receb obrig salari q to qrend faz portabil p receb la cair log outr banc aind n consegu pq desativ outr cont ant sab lix q b,marca
1104,muit burocrac princip cancel contrat outr,marca
925,apen  ano quatr ano tent receb carta cont poupanc consig,marca
1094,kkkkk vou aind fic mont temp assim  bilho incomod banc floux resolv nad ond client  ano fiq desempreg ped pra esper prox me pag,marca
1278,dic incomum hoj fac transaco internac cheg ped us  r  cotaca banc centr pra receb sai la r  porqu oper cambi difer aind cobr tax r  pra debit,marca
731,mae gost pass informaco send twitt ofic itau vai ir agenc desbloqu deix inform sobr bug aplic acontec pag fatur refer carta itau obrig,produto
1248,assim esper porqu sempr mesm cois,marca
1407,abr cont deposit dinh carta cheg,produto
325,oi ach sim cc aprov consegu acess app ped senh carta aind receb carta acess ant receb,produto
928,qd chequ compens cont send feit sext feir acim  real papel const  dia util ai const cont sald liber,produto
1277,diz cois vc banc digitau pq nfc pro carta credit ades credit aind pod usufru tecnolog,marca
318,terc vez pec segund via carta credit ta esp nunc cheg residenc sempr dao pra  dia utel nunc cheg,produto
55,refir assim aument limit fic anuidad altiss,marca
381,demal ped reduz jur carta credit zoe bom tramp ai car,marca
931,consig faz rez brab err explic ta err,marca
867,ador respond email gerent diz serv concorr atend inter ofert parec jog vir,marca
2,vc aind disponibiliz deposit chequ app,produto
1061,fal negoci promoca ganh   pont sempr pres prim uso appl pay aind val obrig,produto
959,bolet pra pag banc q venc ont poss pag hj carta debit obrig pag dinh,produto
543,desd dia  tent pag fatur sit app  lib expliq tud dm retorn,produto
572,pq deix acess app pc atrav vm ajud po favor,produto
247,porqu tao dificil faz design carto bonit eleg,marca
1373,consegu baix guardia pc acab instal nov itoken pq esquec precis ir caix eletron q fac agor,produto
220,enquant faz beste carta salv,marca
296,possu codig agenc dentr west shopping camp grand saqu menin inform pass reform,produto
603,recurs faturadigit app cheg pra deix bom aind melhor,marca
419,dand ingress pra ver guerr infinit itau pow shopping n cit banc venh jur burocrac pro twitt,marca
1256,declar am faz ign lamenta oi sum,marca
583,adoroo comerc music dev,marca
615,facil vc envi comunic geral inform client app continu problem inv faz idiot consig pass app precis avis ruim vam la tent nov,marca
654,cad respost,marca
1562,banc diz tod digit faz propri atend fal operaco feit app rar funcion diz ai,marca
726,ped mand pass pass pod imprim fatur carta bloque moc fic mand mail pass pass agor cheg,produto
1275,transfer dinh cont corr cont poupanc pag tax tbi,produto
1114,ei porqu chat app permit comec convers caus carta ser corrent http t co wiaqrzs,produto
49,sonh lev pra are vip rock in rio nov dess vez pod lev amig mir zair,marca
633,propagand anim itau dav dancarin http t co aomtkqqafd,marca
785,rt quer pag fatur carta credit mand mim bolet,marca
630,cont salari banc itau desd  ness ano resolv mud pra cont corr cont falt acess aplic limitaco onlin cont salari agenc pratic coag abr cont tax exorbit,produto
653,tent coloc senh acontec err inesper http t co igjmvsipr,produto
253,seri vc fic cinc ano escrev aqu apag muit cois,marca
1163,rt cois odei ness vid merd guardia,marca
1300,gerent fal ia resolv problem cont ont agor nad,produto
20,previsa encaminh pra ter banc samsung pay,marca
943,pq aprov credit crediari lib credit carta credit dificil hein pag crediari consig,produto
319,pessoal fiz deposit hoj manh dinh hor cai,produto
591,to problem sobr biometr agenc nad resolv perd uma  tard diz vai resolv nad outr to necessit emergenc consig,produto
826,desbloqu carta caix eletron prim vez deu senh incorret ok cancel tud coloq carta nov aparec tel diz bloque dev ir agenc,produto
156,consegu acess fon facil msg ag cc incorret help,marca
408,boa noit consig entend porqu tod dia caix eletron ct funda dinh trav dem horr pra faz saqu,marca
1386,boa madrug ocorr algum atualizaca app celul funcion,produto
1204,precis ajud consig inform rend pai falec fever cont fech,produto
582,prim  hor irrit,marca
129,banc ladra,marca
1327,alo precis aprov solicitaca carta appl pay favor,produto
795,ped convers dm aqu nad escond,marca
206,extrat cont celul venc hoj lembr pag agor esquec complet ai tent pag app banc ta dand err to odi vou ter pag amanh jur fodeeeee http t co jzwfefk,marca
1154,rt banc conden falh serv banklin,marca
314,pra mim err projet arquitet outr banc assim,marca
1496,precis verific algum cois log mud vc tbm cobr abus anuidad,marca
518,pacot essenc consig us app pra faz recarg pag cont,produto
1603,parab internet banking fic bem legal,marca
1597,rj agenc funcion hoj par pro feri,produto
831,part pag funcion continu redirecion pra pagin inic,produto
548,oi unic descrica li fiz ped algum chequ espec ai entend nad,produto
697,ta parab hein q q adiant agend cont cheg metad me comec receb avis debit put par,marca
892,const sald liber cont q signif temp  dia,produto
585,terc agenc tent resolv,marca
1252,ag  consegu quas  hor esper,produto
1243,itau precis ajud consig log app,produto
453,lig louc celul atr mae prop algum plan mae declin tod vez vou fal atend ta lig celul mae mulh deslig car,marca
1156,rt faz respeit cobranc indev desenfre banc via telefon sm s,produto
1525,tud bem ador nov tecnolog inclusiv utiliz aguard pod us comod seguranc facil,marca
1043,quer inform rend via app precis faz comput pra liber app efeit tostin http t co flrlaaluj,produto
930,ta brinc comig kkkkkkkkkk ah vei,marca
1461,alo fiz reclamaca contr cobranc indev aval emerg feit der respost porc embas algum diss resolv assim func quer escut client,marca
78,inform canal pod lig pass dad inform cpf via red soc sorry,marca
236,quit debit govern issomudaojog,marca
219,descont debit automa ter ativ cheg praz dinh sai cont,produto
761,vc pod favor depos log dinh mae contaa precis peg onibu amanh dinh boa noit,marca
668,vc pag tarif mens q roub p efetiv cont agend ai vc pag mult consegu pag bolet problem app ger carta virtual p compr internet faz propagand q digit,marca
686,precis comparec agenc peg carta salari,produto
290,alegr dia pass tard esper pra mud pacot cont,marca
269,rt algum notic sobr integraca carto samsung pay android pay,marca
1264,gent terc vez menos seman venh ness horari ta tod mund almoc atend trabalh fil enorm atend prioritari func pesso trabalh pq us bom sens revez almoc,produto
891,problem app hoj,marca
202,bom enquant dur obrig atend agenc incri vid precis segu frent conhec outr banc http t co keqlqynxh,marca
877,boa tard to problem senh eletron cadastr acess app aparec mens ativ caix,produto
336,obrig pq agor vouch mastercard surpreend retir carta credit solicit   gerent cont solicitaca segund via obrig,marca
119,campanh cop mund tit demonstr cert falt referenc jog brasil ora dao seguranc futebol aspect identificaca ronald vej sid intenca campanh ta ali ocult,marca
1301,ta fod ta fod ser client,marca
447,am precis fal vc urgent sobr carta nov cheg nunc,marca
1402,sei dig pag carta dia sempr debit pag min cont lig ped estorn val cont debit vez credit bloque limit ag  c ,produto
14,ta engan desd dia resolv abr cont conjunt,marca
276,telefon agenc propri itau fornec retorn numer inexist real sugir atualiz mantenh atual tip informaca gast bast temp hoj corr atr informaca simpl,marca
888,oi atend lix,marca
1019,ti pi banc neon banc int banc brasil caix santand banrisul poi tod oferec experienc alt qual serv,marca
1438,car banc diss acontec frequenc err pesso sim dev ser err sab maquin ped senh,produto
865,cad vez pi serv tent pag impost pj app celul diz soment internet tent sit baix app window tent app window diz ar fail piorbancodomund,marca
554,pra troc agenc ir pra ped,produto
1606,vez consig faz pag impost sit resolv log favor itau darf impost pag banc problem banklin,produto
1181,fiz p merec,marca
115,duvid previdenc mand dm,produto
1253,carta debit ta debit debit cont opca itau opco banc,produto
302,parab pess atend posicion caix west shopping camp grand rio jan fil pass port agenc,marca
952,diz q apo venc q ser pag itau venc ont q dia util quer sab esquem ser obrig pag dinh pra pag debit,marca
773,pag jur vou escolh dar dinh sempr ult opca,marca
1075,refir samsung pay,marca
1501,quer inform tao facil receb mail,produto
184,ajud colabor cont simples sum consig acess carto,produto
635,ok obg esclarec,marca
406,pec trat govern tem deu pra perda div,marca
45,bem ilusori poupanc vantaj cas extr ond pag menos  cdi cas outr,marca
1598,carta ta dand err hor pass fac pra troc,produto
942,cad carta cheg,produto
1484,fic envi mail confirm abert cont aind receb mail,produto
1169,hey algum alteraca layout internet banking tel acess difer,marca
808,rt am deu ajud aceit carto junt samsung pay tecnolog,marca
226,hoj cancel consorci tao simpl choqu agor,marca
1151,rt encerr cont far tod dia cont liberdad hoj faz xx dia livr banc q,marca
1544,gost entend algum logic banc oferec saqu biometr agenc precis carta abert port oferec appl pay client maquin aceit tecnolog ceo faz http t co mckjhl,marca
786,boa noit mand dm,marca
514,boa tard pessoal algum previsa appl pay ser liber carto debit,marca
191,ai itau pass vergonh,marca
312,ow pod abr agenc aqu dentr unicamp legal poup ter ir centr bara km tod vez sugesta,marca
687,acab entr pro pi banc pass,marca
309,internet banking opca deix aqu sugesta  func sum ignor mes fac questa report tod problem feit r pass raiv,marca
80,ola boa noit diss atend faz diferenc refer excel atend vou itau difer atend caix econom parab itau atend melhor,marca
984,caralh to mto put compr par mand valid itoken entr mand ir caix valid itoken valid us ant bel porr banc cheg cas mand,marca
423,vsf autoriz engod itau tit timelin,marca
239,precis resolv problem sistem porqu agenc comprov b sistem,marca
508,carta venc desd novembr  ajud ai,produto
836,aument numer atend diminu esper cri caix exclus senh prefer aguent pass h ris esper tod prefer uniclas ser atend ant mim tend peg senh,marca
557,alo conseg ser menos parec soatrasodev,marca
1136,rt legal appl pay vam numer celul brasil io   android   justificat,marca
103,cad absurd membr grup report bom invest divulgaca inform comerci sobr applepay maior conhec med absurd poi segur us carta plas http t co vhaimyjroh,marca
784,cadeir vir ne cadeir uso mulet quas consegu sair carr bancoitau http t co jnobggfr,marca
165,bik nov cidad desp tod fic apen jardim europ,marca
801,rt dev ter um  ano vc enrol pra coloc samsung pay ai pra appl cheg exclus abr,marca
813,caix eletron agenc trav deposit uma  seman vc pod dar jeit niss,marca
908,boa tard instal app comput consegu faz quer faz agor diz err porqu banc pod liber pag precis entr contat resolv aqu internet,produto
1263,horari almoc pra client cruc bom atend maior trabalh aproveit hor vag pra resolv problem,marca
723,alo bor agiliz entreg ai desd outubr tent peg carta complic fal tao bem quas volt pro,marca
1047,enta transaca consegu faz app smartphon caus itoken consegu faz app desktop seguranc app desktop homebanking dev bloqu faz sent entend,produto
368,instant quant temp to esper agor  dia jur,marca
1517,olh bel app comput func http t co xqionsshhw,produto
1591,alo pq consig fal atend ajudaaa,produto
145,ow vc cans mand cobranc pra cas,marca
564,amig santand cham vinic reclam nad mud,marca
1239,pi banc exist gent utiliz bost,marca
1559,falt exist estabelec tecnolog real ser uau,marca
52,consig cadastr carta credit itau personnalit vis,produto
1216,pod descart carta provisori defini cheg ne,produto
522,itau funcion problem um  mes pra ca fic horri,marca
348,convers agenc pra pag sit agenc tod me ir agenc pag gui ins simpl nacion pra app empr assim continu us app pesso fisic,marca
859,olh recom banc nenhum amig infeliz outr opca ultiliz serv bancari control jur ning control tax tax lucr quant recomend itau amig not   coment,marca
288,tod banc samsungpay fic pra tra vergonh,marca
48,dificil us app ne fic ar muit frequenc saudad temp bom niss http t co qzgnchsn,marca
1283,aind ta val  pont sempr pres pra fiz prim transaca us appl pay,produto
